Reference, Value, Footprint, Datasheet
P1,CONN_01X02,Screw Temrinal 2-pin 5mm Pitch,
P2,CONN_01X02,Screw Temrinal 2-pin 5mm Pitch,
P3,CONN_01X02,Screw Temrinal 2-pin 5mm Pitch,
P4,CONN_01X02,Screw Temrinal 2-pin 5mm Pitch,
P5,CONN_01X02,Screw Temrinal 2-pin 5mm Pitch,
U1,LD1117S33TR,Voltage Regulator LD1117 - 3.3V 800mA,http://grobotronics.com/images/datasheets/ld1117.pdf
C1,100nF,Capacitor Ceramic Unpolarized,
C2,10uF,Capacitor Electrolytic Polarized,
